mol_canonical_id,mol_id,mol_name,smiles
MOL_7d9317918049,Target_lig_70,riboflavin,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(CO)O)O)O
MOL_ba8ce2f7c701,Target_lig_31,lysine,C(CCN)C[C@@H](C(=O)O)N
MOL_df171fcef026,Target_lig_1151,Tetramethylrosamine (TMR),CN(C)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](C)C)C=C3O2)C4=CC=CC=C4
MOL_5689c11cb746,Target_lig_697,DB75,C1=CC(=CC=C1C2=CC=C(O2)C3=CC=C(C=C3)C(=[NH2+])N)C(=[NH2+])N
MOL_4fc5b6530fe0,Target_lig_731,Aniline_analog_7,OC(Cn1c2ccc(cc2c2c1ccc(c2)Br)Br)CNc1ccc(cc1)N1CCOCC1
MOL_6bfd66f233f5,Target_lig_1018,CMBL-3aL,NCCCC(=O)NCCCN1Cc2ccc3c(n2)nc(cc3)NC(=O)OCC/C=C/CCOC(=O)Nc2nc3nc(C1)ccc3cc2
MOL_dc1532bcaba4,Target_lig_652,DCC 4 (2012),CCC1=C(C=C2C=C3C=CC=CC3=CC2=N1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](C\C=C/C[C@H](NC(=O)[C@@H]1CCCN1C(=O)C1=C(CC)N=C2C=C3C=CC=CC3=CC2=C1)C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+])C(=O)N[C@@H](CCCC[NH3+])C(=O)NCCC[NH3+]
MOL_b7372cc9fa51,Target_lig_746,Carbazole_analog_24,CCOc1ccc(cc1)NCC(Cn1c2ccc(cc2c(c1C)C)Br)O
MOL_b9157f5fcbf1,Target_lig_767,Neomycin-4b,NCC1OC(OC2C(Cn3nnc(c3)CCCCCC(=O)Nc3cccc(c3)c3csc(n3)NC(=O)C)OC(C2O)OC2C(O)C(N)CC(C2OC2OC(CN)C(C(C2N)O)O)N)C(C(C1O)O)N
MOL_0de40b91d2c6,Target_lig_634,2H-4,CCCN(CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CCC)CC(=O)N(CC(N)=O)CC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1)C(=O)CNCC1=CN(CCCNC(=O)CCCOC2=CC=CC(=C2)C2=NC3=CC(=CC=C3N2)C2=NC3=CC(=CC=C3N2)N2CC[NH+](C)CC2)N=N1
MOL_7515c78c3de2,Target_lig_748,Carbazole_analog_26,OC(CN(c1ccc(cc1)Br)c1ccc(cc1)Br)CNc1ccc(cc1)N1CCOCC1
MOL_f81c33b53e93,Target_lig_230,Minocycline,CN(C)C1C2CC3CC4=C(C=CC(=C4C(=C3C(=O)C2(C(=C(C1=O)C(=O)N)O)O)O)O)N(C)C
MOL_a6e4b837e161,Target_lig_122,N-(4-bromo-3-methylphenyl)-3-(4-ethylpiperazin-1-yl)propanamide,CCN1CCN(CC1)CCC(=O)NC2=CC(=C(C=C2)Br)C
MOL_775b5f9e4ef8,Target_lig_1021,DMA-155,CN(c1nc(N)c(nc1c1ccc(cc1)c1ccccc1)C(=O)NC(=[NH2+])N)C
MOL_7d2b307ff92b,Target_lig_1124,Rbt427,NCCCOc1ccc(cc1CNCCCCNC(=N)N)c1cscc1
